nom_commun_fr,nom_commun_en,nom_latin,aliases,type_environnement,categorie,tags_usage,difficulte,vitesse_croissance,hauteur_cm,largeur_cm,climats_fr,temp_min_c,tolerance_cotiere,tolerance_urbaine,besoins_lumiere,frequence_arrosage,notes_arrosage,types_sol,ph_sol,humidite,duree_vie,type_feuillage,type_taille,notes_debutants,toxique_humains,toxique_animaux
Hortensia rose,Pink Hydrangea,Hydrangea macrophylla,Hortensia commun,OUTDOOR,SHRUB,ornementale;fleurs,EASY,MEDIUM,150,120,OCEANIC;CONTINENTAL,-10,true,true,PARTIAL_SHADE,HIGH,Maintenir le sol frais,HUMUS;DRAINING,ACIDIC,HIGH,PERENNIAL,DECIDUOUS,LIGHT,Facile à cultiver en sol acide,false,false
Romarin officinal,Rosemary,Rosmarinus officinalis,Romarin commun,OUTDOOR,SHRUB,aromatique;culinaire,VERY_EASY,SLOW,100,80,MEDITERRANEAN;OCEANIC,-12,true,true,FULL_SUN,VERY_LOW,Résistant à la sécheresse,SANDY;DRAINING,BASIC,LOW,PERENNIAL,EVERGREEN,LIGHT,Parfait pour débutants,false,false
Basilic grand vert,Sweet Basil,Ocimum basilicum,Basilic commun,OUTDOOR,HERB,aromatique;culinaire,EASY,FAST,60,40,MEDITERRANEAN;CONTINENTAL;OCEANIC,5,false,false,FULL_SUN,MODERATE,Arroser régulièrement,HUMUS;DRAINING,NEUTRAL,MEDIUM,ANNUAL,DECIDUOUS,NONE,Semer au printemps après les gelées,false,false
Sauge officinale,Common Sage,Salvia officinalis,Sauge des jardins,OUTDOOR,HERB,aromatique;medicinale,EASY,MEDIUM,80,60,MEDITERRANEAN;CONTINENTAL,-15,true,true,FULL_SUN,LOW,Peu d'arrosage nécessaire,SANDY;DRAINING,BASIC,LOW,PERENNIAL,EVERGREEN,LIGHT,Très résistante et facile,false,false
Fougère de Boston,Boston Fern,Nephrolepis exaltata,Néphrolèpe,INDOOR,PERENNIAL,ornementale;purifiante,INTERMEDIATE,MEDIUM,60,80,OCEANIC,10,false,false,PARTIAL_SHADE,HIGH,Maintenir humide sans détremper,HUMUS;DRAINING,SLIGHTLY_ACIDIC,HIGH,PERENNIAL,EVERGREEN,NONE,Parfaite plante d'intérieur,false,false
Thym commun,Common Thyme,Thymus vulgaris,Thym de jardin,OUTDOOR,HERB,aromatique;culinaire,VERY_EASY,SLOW,30,40,MEDITERRANEAN;CONTINENTAL,-20,true,true,FULL_SUN,VERY_LOW,Très résistant à la sécheresse,SANDY;POOR,BASIC,LOW,PERENNIAL,EVERGREEN,LIGHT,Idéal pour rocailles,false,false
Géranium rosat,Rose Geranium,Pelargonium graveolens,Pélargonium odorant,MIXED,PERENNIAL,ornementale;aromatique,EASY,MEDIUM,80,60,MEDITERRANEAN;OCEANIC,-5,false,true,FULL_SUN,MODERATE,Laisser sécher entre les arrosages,SANDY;DRAINING,NEUTRAL,MEDIUM,PERENNIAL,EVERGREEN,LIGHT,Rentrer en hiver en région froide,false,false
Menthe verte,Spearmint,Mentha spicata,Menthe douce,OUTDOOR,HERB,aromatique;culinaire,VERY_EASY,FAST,80,50,OCEANIC;CONTINENTAL,-25,false,false,PARTIAL_SHADE,HIGH,Sol toujours frais,HUMUS;CLAY,SLIGHTLY_ACIDIC,HIGH,PERENNIAL,DECIDUOUS,LIGHT,Très envahissante planter en pot,false,false
Lierre anglais,English Ivy,Hedera helix,Lierre commun,MIXED,CLIMBING,ornementale;couvre-sol,VERY_EASY,MEDIUM,300,200,OCEANIC;CONTINENTAL,-20,true,true,PARTIAL_SHADE,MODERATE,Résistant à la sécheresse,HUMUS;CLAY,NEUTRAL,MEDIUM,PERENNIAL,EVERGREEN,LIGHT,Très résistant mais peut être envahissant,true,true
Cactus de Noël,Christmas Cactus,Schlumbergera x buckleyi,Cactus épiphyte,INDOOR,SUCCULENT,ornementale;fleurs,EASY,SLOW,30,40,OCEANIC,5,false,false,BRIGHT_INDIRECT,LOW,Laisser sécher entre arrosages,SANDY,SLIGHTLY_ACIDIC,MEDIUM,PERENNIAL,EVERGREEN,NONE,Floraison hivernale spectaculaire,false,false